﻿Dato,Wind,Temp,Sun,MWh,Flow
17-02-2021 00:00,1.83,2.13,0,430615,11724.41
18-02-2021 00:00,3.71,4.04,84,392242,10668.3
19-02-2021 00:00,3.54,3.58,314,378991,10401.04
20-02-2021 00:00,3.17,6.38,108,344130,9612.86
21-02-2021 00:00,1.88,6.46,300,319484,9110.42
22-02-2021 00:00,2.92,6.5,366,341231,9464.79
23-02-2021 00:00,2.71,6.67,0,341492,9390.93
24-02-2021 00:00,6.38,10.08,73,315055,8794.77
25-02-2021 00:00,4.83,6.96,164,314914,9043.49
26-02-2021 00:00,5.21,4.58,276,342237,9766.6
27-02-2021 00:00,3.83,5.46,390,300469,8859.17
28-02-2021 00:00,3.83,3.71,140,333564,9872.87
01-03-2021 00:00,3.13,3.75,381,342240,9822.01
02-03-2021 00:00,1,1,242,365961,10375.86
03-03-2021 00:00,2.04,1.29,167,364675,10400.33
04-03-2021 00:00,3.42,1.5,399,347774,9970.68
05-03-2021 00:00,1.17,-0.5,572,389595,11089.6
06-03-2021 00:00,6,2.33,194,382721,10670.32
07-03-2021 00:00,4.83,2.04,276,374000,10517.75
08-03-2021 00:00,1.33,-0.79,557,410097,11535.62
09-03-2021 00:00,1.75,0.08,594,391251,11071.91
10-03-2021 00:00,4.83,0.88,45,420172,11702.13
11-03-2021 00:00,8.17,4.71,0,387484,10874.93
12-03-2021 00:00,6.13,3.75,18,385029,10811.89
13-03-2021 00:00,3.42,2.54,14,374806,10530.41
14-03-2021 00:00,5.29,3.58,193,366368,10430.79
15-03-2021 00:00,5.08,3.33,133,384056,10983.09
16-03-2021 00:00,2.83,2.33,421,362615,10472.95
17-03-2021 00:00,1.67,2.17,309,366380,10608.1
18-03-2021 00:00,1.75,1.92,428,360578,10574.33
19-03-2021 00:00,2.46,0.29,388,383529,11082.29
20-03-2021 00:00,5.67,2.83,10,391603,11046.78
21-03-2021 00:00,5.67,4,504,344781,10079.84
22-03-2021 00:00,4.33,4.04,41,366605,10516.59
23-03-2021 00:00,4.13,4.58,1,361526,10546.57
24-03-2021 00:00,4.38,6,43,340916,10251.06
25-03-2021 00:00,3.33,5.04,209,335049,10298.33
26-03-2021 00:00,3.79,6.96,20,325842,9937.71
27-03-2021 00:00,4.46,4.83,223,303969,9323.96
28-03-2021 00:00,6,5.63,3,327994,9706.25
